구분,죄종,발생검거,건수
방배,살인,발생,1
방배,살인,검거,1
방배,강도,발생,0
방배,강도,검거,0
방배,강간,발생,53
방배,강간,검거,36
방배,절도,발생,403
방배,절도,검거,214
방배,폭력,발생,495
방배,폭력,검거,441
은평,살인,발생,2
은평,살인,검거,2
은평,강도,발생,1
은평,강도,검거,1
은평,강간,발생,132
은평,강간,검거,106
은평,절도,발생,941
은평,절도,검거,555
은평,폭력,발생,1271
은평,폭력,검거,1109
도봉,살인,발생,1
도봉,살인,검거,1
도봉,강도,발생,5
도봉,강도,검거,5
도봉,강간,발생,90
도봉,강간,검거,83
도봉,절도,발생,790
도봉,절도,검거,394
도봉,폭력,발생,1224
도봉,폭력,검거,1014
수서,살인,발생,2
수서,살인,검거,1
수서,강도,발생,2
수서,강도,검거,3
수서,강간,발생,170
수서,강간,검거,151
수서,절도,발생,967
수서,절도,검거,461
수서,폭력,발생,1470
수서,폭력,검거,1276
